France,CP08,Communications,2020,27.6
France,CP081,Postal services,2020,1.58
France,CP08101,Letter handling services,2020,1.16
France,CP08109,Other postal services,2020,0.41
France,CP082_083,Telephone and telefax equipment and services,2020,26.02
France,CP0820,Telephone and telefax equipment,2020,3.68
France,CP08201,Fixed telephone equipment,2020,0.23
France,CP08202,Mobile telephone equipment,2020,3.45
France,CP08203,Other equipment of telephone and telefax equipment,2020,0
France,CP08204,Repair of telephone or telefax equipment,2020,0
France,CP0830,Telephone and telefax services,2020,22.34
France,CP08301,Wired telephone services,2020,1.53
France,CP08302,Wireless telephone services,2020,11.11
France,CP08303,Internet access provision services,2020,3.16
France,CP08304,Bundled telecommunication services,2020,6.54
France,CP08305,Other information transmission services,2020,0
France,CP09,Recreation and culture,2020,81.63
France,CP091,Audio-visual photographic and information processing equipment,2020,10.66
France,CP0911,Equipment for the reception recording and reproduction of sound and picture,2020,2.26
France,CP09111,Equipment for the reception recording and reproduction of sound,2020,0.36
France,CP09112,Equipment for the reception recording and reproduction of sound and vision,2020,1.75
France,CP09113,Portable sound and vision devices,2020,0
France,CP09119,Other equipment for the reception recording and reproduction of sound and picture,2020,0.16
France,CP0912,Photographic and cinematographic equipment and optical instruments,2020,0.55
France,CP09121,Cameras ,2020,0.46
France,CP09122,Accessories for photographic and cinematographic equipment ,2020,0.09
France,CP09123,Optical instruments,2020,0
France,CP0913,Information processing equipment,2020,3.6
France,CP09131,Personal computers,2020,2.79
France,CP09132,Accessories for information processing equipment,2020,0.55
France,CP09133,Software,2020,0
France,CP09134,Calculators and other information processing equipment,2020,0.26
France,CP0914,Recording media,2020,1.34
France,CP09141,Pre-recorded recording media,2020,0.91
France,CP09142,Unrecorded recording media,2020,0
France,CP09149,Other recording media,2020,0.44
France,CP0915,Repair of audio-visual photographic and information processing equipment,2020,2.9
France,CP092,Other major durables for recreation and culture,2020,5.7
France,CP0921_0922,Major durables for indoor and outdoor recreation including musical instruments,2020,4.59
France,CP0921,Major durables for outdoor recreation,2020,4.33
France,CP09211,Camper vans caravans and trailers,2020,2.27
France,CP09212,Aeroplanes microlight aircraft gliders hang-gliders and hot-air balloons,2020,0
France,CP09213,Boats outboard motors and fitting out of boats,2020,2.06
France,CP09214,Horses ponies and accessories,2020,0
France,CP09215,Major items for games and sport,2020,0
France,CP0922,Musical instruments and major durables for indoor recreation,2020,0.26
France,CP09221,Musical instruments,2020,0.24
France,CP09222,Major durables for indoor recreation,2020,0.02
France,CP0923,Maintenance and repair of other major durables for recreation and culture,2020,1.1
France,CP093,Other recreational items and equipment gardens and pets,2020,27.81
France,CP0931,Games toys and hobbies,2020,6.16
France,CP09311,Games and hobbies,2020,5.34
France,CP09312,Toys and celebration articles,2020,0.82
France,CP0932,Equipment for sport camping and open-air recreation,2020,7.47
France,CP09321,Equipment for sport,2020,6.36
France,CP09322,Equipment for camping and open-air recreation,2020,0.94
France,CP09323,Repair of equipment for sport camping and open-air recreation,2020,0.17
France,CP0933,Gardens plants and flowers,2020,5.88
France,CP09331,Garden products,2020,1.85
France,CP09332,Plants and flowers,2020,4.03
France,CP0934_0935,Pets and related products; veterinary and other services for pets,2020,8.3
France,CP0934,Pets and related products,2020,4.35
France,CP09341,Purchase of pets,2020,0.33
France,CP09342,Products for pets,2020,4.02
France,CP0935,Veterinary and other services for pets,2020,3.95
